Date,Bank Open,Corona Count,Stringency Index
30-Jan-20,30889.25,1,10.19
31-Jan-20,30950.5,2,10.19
01-Feb-20,30726.2,2,10.19
02-Feb-20,30726.2,2,10.19
03-Feb-20,29811.75,3,10.19
04-Feb-20,30235.3,3,10.19
05-Feb-20,30761.95,3,10.19
06-Feb-20,31070.75,3,10.19
07-Feb-20,31367.05,3,10.19
08-Feb-20,31367.05,3,10.19
09-Feb-20,31367.05,3,10.19
10-Feb-20,31248.65,3,10.19
11-Feb-20,31230.2,3,10.19
12-Feb-20,31441.15,3,10.19
13-Feb-20,31586.55,3,10.19
14-Feb-20,31281.85,3,10.19
15-Feb-20,31281.85,3,10.19
16-Feb-20,31281.85,3,10.19
17-Feb-20,30873.85,3,10.19
18-Feb-20,30661.5,3,10.19
19-Feb-20,30905,3,10.19
20-Feb-20,30862.3,3,10.19
21-Feb-20,30862.3,3,10.19
22-Feb-20,30862.3,3,10.19
23-Feb-20,30862.3,3,10.19
24-Feb-20,30666.35,3,10.19
25-Feb-20,30517,3,10.19
26-Feb-20,30279.95,3,10.19
27-Feb-20,30270,3,10.19
28-Feb-20,29501.55,3,10.19
29-Feb-20,29501.55,3,10.19
01-Mar-20,29501.55,3,10.19
02-Mar-20,29701,5,10.19
03-Mar-20,29012.55,6,10.19
04-Mar-20,29252.95,28,15.74
05-Mar-20,28830.3,30,26.85
06-Mar-20,27649.95,31,26.85
07-Mar-20,27649.95,34,26.85
08-Mar-20,27649.95,39,26.85
09-Mar-20,27031.45,44,26.85
10-Mar-20,27031.45,50,26.85
11-Mar-20,26272.75,60,26.85
12-Mar-20,25175.9,74,26.85
13-Mar-20,22720.75,81,33.33
14-Mar-20,22720.75,84,36.11
15-Mar-20,22720.75,110,38.89
16-Mar-20,24061.6,114,48.15
17-Mar-20,23348.05,137,48.15
18-Mar-20,22411.85,151,50
19-Mar-20,19428.95,173,59.72
20-Mar-20,19898.3,223,70.83
21-Mar-20,19898.3,315,76.39
22-Mar-20,19898.3,360,100
23-Mar-20,18311.3,468,86.57
24-Mar-20,17705.85,519,86.57
25-Mar-20,16759.95,606,100
26-Mar-20,18781.85,694,100
27-Mar-20,20801.6,834,100
28-Mar-20,20801.6,918,100
29-Mar-20,20801.6,1024,100
30-Mar-20,19254.45,1251,100
31-Mar-20,19307.65,1397,100
01-Apr-20,19122.4,1834,100
02-Apr-20,19122.4,2069,100
03-Apr-20,18325.05,2547,100
04-Apr-20,18325.05,3072,100
05-Apr-20,18325.05,3577,100
06-Apr-20,18325.05,4281,100
07-Apr-20,18454.55,4789,100
08-Apr-20,18799.4,5274,100
09-Apr-20,19553.15,5865,100
10-Apr-20,19553.15,6761,100
11-Apr-20,19553.15,7529,100
12-Apr-20,19553.15,8447,100
13-Apr-20,19854.9,9352,100
14-Apr-20,19854.9,10815,100
15-Apr-20,20096.35,11933,100
16-Apr-20,18957.15,12759,100
17-Apr-20,20394.75,13835,100
18-Apr-20,20394.75,14792,100
19-Apr-20,20394.75,16116,100
20-Apr-20,21104.7,17656,96.3
21-Apr-20,19812.05,18985,96.3
22-Apr-20,19306.95,20471,96.3
23-Apr-20,19871.35,21700,96.3
24-Apr-20,19697.65,23452,96.3
25-Apr-20,19697.65,24942,96.3
26-Apr-20,19697.65,26917,96.3
27-Apr-20,19870.8,28380,96.3
28-Apr-20,20436.6,29974,96.3
29-Apr-20,20440.4,31787,96.3
30-Apr-20,21589.2,33610,96.3
01-May-20,21589.2,35365,96.3
02-May-20,21589.2,37776,96.3
03-May-20,21589.2,40263,96.3
04-May-20,20514.75,42836,81.94
05-May-20,20147.3,46711,81.94
06-May-20,19302.45,49391,81.94
07-May-20,19536.05,52952,81.94
08-May-20,19844,56342,81.94
09-May-20,19844,59662,81.94
10-May-20,19844,62939,81.94
11-May-20,19610.45,67152,81.94
12-May-20,18751.4,70756,81.94
13-May-20,20017.75,74281,81.94
14-May-20,19197.7,78003,81.94
15-May-20,19098.8,81970,81.94
16-May-20,19098.8,85940,81.94
17-May-20,19098.8,90927,81.94
18-May-20,18795.1,96169,79.17
19-May-20,18037.15,101139,79.17
20-May-20,17486.5,106750,79.17
21-May-20,17901.95,112359,79.17
22-May-20,17554.25,118447,79.17
23-May-20,17554.25,125101,79.17
24-May-20,17554.25,131868,79.17
25-May-20,17554.25,138845,79.17
26-May-20,17537.65,145380,79.17
27-May-20,17603.4,151767,79.17
28-May-20,18924.45,158333,79.17
29-May-20,18962,165799,79.17
30-May-20,18962,173763,79.17
31-May-20,18962,182143,79.17
01-Jun-20,19728.9,190535,75.46
02-Jun-20,20120.6,198706,75.46
03-Jun-20,20966.6,207615,75.46
04-Jun-20,20932.35,216919,75.46
05-Jun-20,20516.4,226770,75.46
06-Jun-20,20516.4,236657,75.46
07-Jun-20,20516.4,246628,75.46
08-Jun-20,21636.1,256611,75.46
09-Jun-20,21295.5,266598,76.85
10-Jun-20,20760.95,276583,76.85
11-Jun-20,21084.7,286579,76.85
12-Jun-20,19529.3,297535,76.85
13-Jun-20,19529.3,308993,76.85
14-Jun-20,19529.3,320922,76.85
15-Jun-20,20457.15,332424,76.85
16-Jun-20,20500.65,343091,76.85
17-Jun-20,20137.45,354065,76.85
18-Jun-20,20137.6,366946,76.39
19-Jun-20,20970.1,380532,76.39
20-Jun-20,20970.1,395048,76.39
21-Jun-20,20970.1,410461,76.39
22-Jun-20,21491.55,425282,76.39
23-Jun-20,21859.25,440215,76.39
24-Jun-20,22479.35,456183,76.39
25-Jun-20,21218.05,473105,76.39
