Date,Financial Service Open,Corona Count,Stringency Index
30-Jan-20,14382.95,1,10.19
31-Jan-20,14389.2,2,10.19
01-Feb-20,14272.3,2,10.19
02-Feb-20,14272.3,2,10.19
03-Feb-20,13719.65,3,10.19
04-Feb-20,13908,3,10.19
05-Feb-20,14245.4,3,10.19
06-Feb-20,14427.3,3,10.19
07-Feb-20,14551.7,3,10.19
08-Feb-20,14551.7,3,10.19
09-Feb-20,14551.7,3,10.19
10-Feb-20,14514.75,3,10.19
11-Feb-20,14564.1,3,10.19
12-Feb-20,14668.8,3,10.19
13-Feb-20,14698.1,3,10.19
14-Feb-20,14596.15,3,10.19
15-Feb-20,14596.15,3,10.19
16-Feb-20,14596.15,3,10.19
17-Feb-20,14491,3,10.19
18-Feb-20,14356.3,3,10.19
19-Feb-20,14456.65,3,10.19
20-Feb-20,14511.05,3,10.19
21-Feb-20,14511.05,3,10.19
22-Feb-20,14511.05,3,10.19
23-Feb-20,14511.05,3,10.19
24-Feb-20,14398.3,3,10.19
25-Feb-20,14282.1,3,10.19
26-Feb-20,14156.75,3,10.19
27-Feb-20,14113.25,3,10.19
28-Feb-20,13778.35,3,10.19
29-Feb-20,13778.35,3,10.19
01-Mar-20,13778.35,3,10.19
02-Mar-20,13824.5,5,10.19
03-Mar-20,13595.55,6,10.19
04-Mar-20,13685,28,15.74
05-Mar-20,13499,30,26.85
06-Mar-20,13027.9,31,26.85
07-Mar-20,13027.9,34,26.85
08-Mar-20,13027.9,39,26.85
09-Mar-20,12765.75,44,26.85
10-Mar-20,12765.75,50,26.85
11-Mar-20,12391.4,60,26.85
12-Mar-20,12037.5,74,26.85
13-Mar-20,10830.25,81,33.33
14-Mar-20,10830.25,84,36.11
15-Mar-20,10830.25,110,38.89
16-Mar-20,11589.65,114,48.15
17-Mar-20,11215.75,137,48.15
18-Mar-20,10709.45,151,50
19-Mar-20,9234.7,173,59.72
20-Mar-20,9539.95,223,70.83
21-Mar-20,9539.95,315,76.39
22-Mar-20,9539.95,360,100
23-Mar-20,8898.4,468,86.57
24-Mar-20,8623,519,86.57
25-Mar-20,8285.25,606,100
26-Mar-20,9366.95,694,100
27-Mar-20,10159,834,100
28-Mar-20,10159,918,100
29-Mar-20,10159,1024,100
30-Mar-20,9408,1251,100
31-Mar-20,9327.75,1397,100
01-Apr-20,9293.9,1834,100
02-Apr-20,9293.9,2069,100
03-Apr-20,8986.6,2547,100
04-Apr-20,8986.6,3072,100
05-Apr-20,8986.6,3577,100
06-Apr-20,8986.6,4281,100
07-Apr-20,9072.45,4789,100
08-Apr-20,9152.6,5274,100
09-Apr-20,9485,5865,100
10-Apr-20,9485,6761,100
11-Apr-20,9485,7529,100
12-Apr-20,9485,8447,100
13-Apr-20,9814.3,9352,100
14-Apr-20,9814.3,10815,100
15-Apr-20,9780,11933,100
16-Apr-20,9191.15,12759,100
17-Apr-20,9821.6,13835,100
18-Apr-20,9821.6,14792,100
19-Apr-20,9821.6,16116,100
20-Apr-20,10112.5,17656,96.3
21-Apr-20,9612.45,18985,96.3
22-Apr-20,9429.8,20471,96.3
23-Apr-20,9647.95,21700,96.3
24-Apr-20,9522.6,23452,96.3
25-Apr-20,9522.6,24942,96.3
26-Apr-20,9522.6,26917,96.3
27-Apr-20,9569.1,28380,96.3
28-Apr-20,9766.45,29974,96.3
29-Apr-20,9919.4,31787,96.3
30-Apr-20,10504.1,33610,96.3
01-May-20,10504.1,35365,96.3
02-May-20,10504.1,37776,96.3
03-May-20,10504.1,40263,96.3
04-May-20,10120.65,42836,81.94
05-May-20,9856,46711,81.94
06-May-20,9524.4,49391,81.94
07-May-20,9668.7,52952,81.94
08-May-20,9751.85,56342,81.94
09-May-20,9751.85,59662,81.94
10-May-20,9751.85,62939,81.94
11-May-20,9684,67152,81.94
12-May-20,9271.6,70756,81.94
13-May-20,9867.85,74281,81.94
14-May-20,9499.85,78003,81.94
15-May-20,9386.35,81970,81.94
16-May-20,9386.35,85940,81.94
17-May-20,9386.35,90927,81.94
18-May-20,9275.4,96169,79.17
19-May-20,8920.05,101139,79.17
20-May-20,8737.85,106750,79.17
21-May-20,9019.35,112359,79.17
22-May-20,8846.25,118447,79.17
23-May-20,8846.25,125101,79.17
24-May-20,8846.25,131868,79.17
25-May-20,8846.25,138845,79.17
26-May-20,8750.1,145380,79.17
27-May-20,8743,151767,79.17
28-May-20,9274.25,158333,79.17
29-May-20,9357.05,165799,79.17
30-May-20,9357.05,173763,79.17
31-May-20,9357.05,182143,79.17
01-Jun-20,9739.85,190535,75.46
02-Jun-20,9934.85,198706,75.46
03-Jun-20,10378.4,207615,75.46
04-Jun-20,10381.95,216919,75.46
05-Jun-20,10171.25,226770,75.46
06-Jun-20,10171.25,236657,75.46
07-Jun-20,10171.25,246628,75.46
08-Jun-20,10580.95,256611,75.46
09-Jun-20,10404.75,266598,76.85
10-Jun-20,10190.55,276583,76.85
11-Jun-20,10247.15,286579,76.85
12-Jun-20,9586.2,297535,76.85
13-Jun-20,9586.2,308993,76.85
14-Jun-20,9586.2,320922,76.85
15-Jun-20,10033.05,332424,76.85
16-Jun-20,10071.4,343091,76.85
17-Jun-20,10039.5,354065,76.85
18-Jun-20,9977,366946,76.39
19-Jun-20,10378.5,380532,76.39
20-Jun-20,10378.5,395048,76.39
21-Jun-20,10378.5,410461,76.39
22-Jun-20,10625.85,425282,76.39
23-Jun-20,10730.25,440215,76.39
24-Jun-20,10949.2,456183,76.39
25-Jun-20,10456.9,473105,76.39
