Date,IT Open,Corona Count,Stringency Index
30-Jan-20,16509,1,10.19
31-Jan-20,16333.15,2,10.19
01-Feb-20,16138.6,2,10.19
02-Feb-20,16138.6,2,10.19
03-Feb-20,16282,3,10.19
04-Feb-20,16174.8,3,10.19
05-Feb-20,16354.45,3,10.19
06-Feb-20,16480.75,3,10.19
07-Feb-20,16453,3,10.19
08-Feb-20,16453,3,10.19
09-Feb-20,16453,3,10.19
10-Feb-20,16481.5,3,10.19
11-Feb-20,16482.4,3,10.19
12-Feb-20,16462.25,3,10.19
13-Feb-20,16578.75,3,10.19
14-Feb-20,16682.3,3,10.19
15-Feb-20,16682.3,3,10.19
16-Feb-20,16682.3,3,10.19
17-Feb-20,16707.65,3,10.19
18-Feb-20,16586.9,3,10.19
19-Feb-20,16796.4,3,10.19
20-Feb-20,16826.3,3,10.19
21-Feb-20,16826.3,3,10.19
22-Feb-20,16826.3,3,10.19
23-Feb-20,16826.3,3,10.19
24-Feb-20,16642.75,3,10.19
25-Feb-20,16490.4,3,10.19
26-Feb-20,16497.15,3,10.19
27-Feb-20,16244.95,3,10.19
28-Feb-20,15726.15,3,10.19
29-Feb-20,15726.15,3,10.19
01-Mar-20,15726.15,3,10.19
02-Mar-20,15355.05,5,10.19
03-Mar-20,15615.05,6,10.19
04-Mar-20,15824.9,28,15.74
05-Mar-20,15912.05,30,26.85
06-Mar-20,15607.35,31,26.85
07-Mar-20,15607.35,34,26.85
08-Mar-20,15607.35,39,26.85
09-Mar-20,15333.55,44,26.85
10-Mar-20,15333.55,50,26.85
11-Mar-20,14524.15,60,26.85
12-Mar-20,14177.4,74,26.85
13-Mar-20,12561.95,81,33.33
14-Mar-20,12561.95,84,36.11
15-Mar-20,12561.95,110,38.89
16-Mar-20,12963.7,114,48.15
17-Mar-20,12517.5,137,48.15
18-Mar-20,12287.8,151,50
19-Mar-20,11183.95,173,59.72
20-Mar-20,11382.4,223,70.83
21-Mar-20,11382.4,315,76.39
22-Mar-20,11382.4,360,100
23-Mar-20,11328.25,468,86.57
24-Mar-20,11159.75,519,86.57
25-Mar-20,11856.9,606,100
26-Mar-20,12496.95,694,100
27-Mar-20,12778.15,834,100
28-Mar-20,12778.15,918,100
29-Mar-20,12778.15,1024,100
30-Mar-20,12152.95,1251,100
31-Mar-20,12681.75,1397,100
01-Apr-20,12680.5,1834,100
02-Apr-20,12680.5,2069,100
03-Apr-20,12129.85,2547,100
04-Apr-20,12129.85,3072,100
05-Apr-20,12129.85,3577,100
06-Apr-20,12129.85,4281,100
07-Apr-20,12147,4789,100
08-Apr-20,12468.6,5274,100
09-Apr-20,12810.8,5865,100
10-Apr-20,12810.8,6761,100
11-Apr-20,12810.8,7529,100
12-Apr-20,12810.8,8447,100
13-Apr-20,12698.85,9352,100
14-Apr-20,12698.85,10815,100
15-Apr-20,12792.45,11933,100
16-Apr-20,12430.3,12759,100
17-Apr-20,12878.35,13835,100
18-Apr-20,12878.35,14792,100
19-Apr-20,12878.35,16116,100
20-Apr-20,12812.6,17656,96.3
21-Apr-20,12513.65,18985,96.3
22-Apr-20,12393.9,20471,96.3
23-Apr-20,12639.8,21700,96.3
24-Apr-20,13001.9,23452,96.3
25-Apr-20,13001.9,24942,96.3
26-Apr-20,13001.9,26917,96.3
27-Apr-20,12957.35,28380,96.3
28-Apr-20,13301.95,29974,96.3
29-Apr-20,13250.6,31787,96.3
30-Apr-20,13841.6,33610,96.3
01-May-20,13841.6,35365,96.3
02-May-20,13841.6,37776,96.3
03-May-20,13841.6,40263,96.3
04-May-20,13646.1,42836,81.94
05-May-20,13637.8,46711,81.94
06-May-20,13437.3,49391,81.94
07-May-20,13408,52952,81.94
08-May-20,13509.45,56342,81.94
09-May-20,13509.45,59662,81.94
10-May-20,13509.45,62939,81.94
11-May-20,13521.6,67152,81.94
12-May-20,13537.15,70756,81.94
13-May-20,13960.35,74281,81.94
14-May-20,13396.05,78003,81.94
15-May-20,13375.45,81970,81.94
16-May-20,13375.45,85940,81.94
17-May-20,13375.45,90927,81.94
18-May-20,13278.25,96169,79.17
19-May-20,13272.35,101139,79.17
20-May-20,13443.5,106750,79.17
21-May-20,13495.4,112359,79.17
22-May-20,13622.25,118447,79.17
23-May-20,13622.25,125101,79.17
24-May-20,13622.25,131868,79.17
25-May-20,13622.25,138845,79.17
26-May-20,13860.85,145380,79.17
27-May-20,13667.15,151767,79.17
28-May-20,13964.9,158333,79.17
29-May-20,13893.4,165799,79.17
30-May-20,13893.4,173763,79.17
31-May-20,13893.4,182143,79.17
01-Jun-20,14155.65,190535,75.46
02-Jun-20,14358,198706,75.46
03-Jun-20,14507.25,207615,75.46
04-Jun-20,14380.85,216919,75.46
05-Jun-20,14715.9,226770,75.46
06-Jun-20,14715.9,236657,75.46
07-Jun-20,14715.9,246628,75.46
08-Jun-20,14824.75,256611,75.46
09-Jun-20,14869.4,266598,76.85
10-Jun-20,14774.8,276583,76.85
11-Jun-20,14823.95,286579,76.85
12-Jun-20,14125.8,297535,76.85
13-Jun-20,14125.8,308993,76.85
14-Jun-20,14125.8,320922,76.85
15-Jun-20,14444.25,332424,76.85
16-Jun-20,14634,343091,76.85
17-Jun-20,14418.8,354065,76.85
18-Jun-20,14478.65,366946,76.39
19-Jun-20,14532.7,380532,76.39
20-Jun-20,14532.7,395048,76.39
21-Jun-20,14532.7,410461,76.39
22-Jun-20,14537.8,425282,76.39
23-Jun-20,14398.45,440215,76.39
24-Jun-20,14675.7,456183,76.39
25-Jun-20,14486.4,473105,76.39
