Date,Stringency Index,Confirmed Cases,Total Cases,Stocks Traded
30-01-2020,10.19,1,1,30302538
31-01-2020,10.19,0,1,19900193
01-02-2020,10.19,0,1,12340055
02-02-2020,10.19,1,2,
03-02-2020,10.19,1,3,21276658
04-02-2020,10.19,0,3,35927209
05-02-2020,10.19,0,3,25123590
06-02-2020,10.19,0,3,43116500
07-02-2020,10.19,0,3,53298851
08-02-2020,10.19,0,3,
09-02-2020,10.19,0,3,
10-02-2020,10.19,0,3,26094576
11-02-2020,10.19,0,3,23370221
12-02-2020,10.19,0,3,22810042
13-02-2020,10.19,0,3,20839474
14-02-2020,10.19,0,3,18664002
15-02-2020,10.19,0,3,
16-02-2020,10.19,0,3,
17-02-2020,10.19,0,3,28572499
18-02-2020,10.19,0,3,22600610
19-02-2020,10.19,0,3,45593806
20-02-2020,10.19,0,3,36971243
21-02-2020,10.19,0,3,
22-02-2020,10.19,0,3,
23-02-2020,10.19,0,3,
24-02-2020,10.19,0,3,50488414
25-02-2020,10.19,0,3,39869569
26-02-2020,10.19,0,3,44448864
27-02-2020,10.19,0,3,40519410
28-02-2020,10.19,0,3,35181304
29-02-2020,10.19,0,3,
01-03-2020,10.19,0,3,
02-03-2020,10.19,2,5,28891044
03-03-2020,10.19,1,6,41206044
04-03-2020,15.74,22,28,57962920
05-03-2020,26.85,2,30,40817153
06-03-2020,26.85,1,31,27817586
07-03-2020,26.85,3,34,
08-03-2020,26.85,5,39,
09-03-2020,26.85,9,48,33459937
10-03-2020,26.85,15,63,
11-03-2020,26.85,8,71,36502334
12-03-2020,26.85,10,81,52330391
13-03-2020,33.33,10,91,51705471
14-03-2020,36.11,11,102,
15-03-2020,38.89,10,112,
16-03-2020,48.15,14,126,47249630
17-03-2020,48.15,20,146,40951602
18-03-2020,50,25,171,44945057
19-03-2020,59.72,27,198,35700672
20-03-2020,70.83,58,256,50098202
21-03-2020,76.39,78,334,
22-03-2020,100,69,403,
23-03-2020,86.57,94,497,33278043
24-03-2020,86.57,74,571,34381735
25-03-2020,100,86,657,30766064
26-03-2020,100,73,730,43517854
27-03-2020,100,153,883,40899569
28-03-2020,100,136,1019,
29-03-2020,100,120,1139,
30-03-2020,100,187,1326,38187086
31-03-2020,100,309,1635,39022078
01-04-2020,100,424,2059,31879062
02-04-2020,100,486,2545,
03-04-2020,100,560,3105,90108092
04-04-2020,100,579,3684,
05-04-2020,100,609,4293,
06-04-2020,100,484,4777,
07-04-2020,100,573,5350,103930843
08-04-2020,100,565,5915,127307172
09-04-2020,100,813,6728,121942870
10-04-2020,100,871,7599,
11-04-2020,100,854,8453,
12-04-2020,100,758,9211,
13-04-2020,100,1243,10454,121649029
14-04-2020,100,1031,11485,
15-04-2020,100,886,12371,115258180
16-04-2020,100,1061,13432,74190433
17-04-2020,100,922,14354,70421787
18-04-2020,100,1371,15725,
19-04-2020,100,1580,17305,
20-04-2020,96.3,1239,18544,61908115
21-04-2020,96.3,1537,20081,125520844
22-04-2020,96.3,1292,21373,79245371
23-04-2020,96.3,1667,23040,75985091
24-04-2020,96.3,1408,24448,104409591
25-04-2020,96.3,1835,26283,
26-04-2020,96.3,1607,27890,
27-04-2020,96.3,1568,29458,75788241
28-04-2020,96.3,1902,31360,51486443
29-04-2020,96.3,1705,33065,47209223
30-04-2020,96.3,1801,34866,68640854
01-05-2020,96.3,2396,37262,
02-05-2020,96.3,2564,39826,
03-05-2020,96.3,2952,42778,
04-05-2020,81.94,3656,46434,87107464
05-05-2020,81.94,2971,49405,52022881
06-05-2020,81.94,3602,53007,50166933
07-05-2020,81.94,3344,56351,42005200
08-05-2020,81.94,3339,59690,44253004
09-05-2020,81.94,3175,62865,
10-05-2020,81.94,4311,67176,
11-05-2020,81.94,3592,70768,47289876
12-05-2020,81.94,3562,74330,54851247
13-05-2020,81.94,3726,78056,46759973
14-05-2020,81.94,3991,82047,60236390
15-05-2020,81.94,3808,85855,70644388
16-05-2020,81.94,4794,90649,
17-05-2020,81.94,5049,95698,
18-05-2020,79.17,4628,100326,61511159
19-05-2020,79.17,6154,106480,45405467
20-05-2020,79.17,5720,112200,54446440
21-05-2020,79.17,6023,118223,56821496
22-05-2020,79.17,6536,124759,49964360
23-05-2020,79.17,6667,131424,
24-05-2020,79.17,7111,138537,
25-05-2020,79.17,6414,144951,
26-05-2020,79.17,5907,150858,48678400
27-05-2020,79.17,7246,158104,43880429
28-05-2020,79.17,7254,165358,39314551
29-05-2020,79.17,8138,173496,105962179
30-05-2020,79.17,8364,181860,
31-05-2020,79.17,8789,190649,
01-06-2020,75.46,7723,198372,75074106
02-06-2020,75.46,8815,207187,65215107
03-06-2020,75.46,9689,216876,37556423
04-06-2020,75.46,9847,226723,76336928
05-06-2020,75.46,9472,236195,57216602
06-06-2020,75.46,10408,246603,
07-06-2020,75.46,10882,257485,
08-06-2020,75.46,8536,266021,39820958
