Date,Stringency Index,Stocks Traded,Daily Recovered
30-01-2020,10.19,30302538,0
31-01-2020,10.19,19900193,0
01-02-2020,10.19,12340055,0
02-02-2020,10.19,0,0
03-02-2020,10.19,21276658,0
04-02-2020,10.19,35927209,0
05-02-2020,10.19,25123590,0
06-02-2020,10.19,43116500,0
07-02-2020,10.19,53298851,0
08-02-2020,10.19,0,0
09-02-2020,10.19,0,0
10-02-2020,10.19,26094576,0
11-02-2020,10.19,23370221,0
12-02-2020,10.19,22810042,0
13-02-2020,10.19,20839474,1
14-02-2020,10.19,18664002,0
15-02-2020,10.19,0,0
16-02-2020,10.19,0,1
17-02-2020,10.19,28572499,0
18-02-2020,10.19,22600610,0
19-02-2020,10.19,45593806,0
20-02-2020,10.19,36971243,1
21-02-2020,10.19,0,0
22-02-2020,10.19,0,0
23-02-2020,10.19,0,0
24-02-2020,10.19,50488414,0
25-02-2020,10.19,39869569,0
26-02-2020,10.19,44448864,0
27-02-2020,10.19,40519410,0
28-02-2020,10.19,35181304,0
29-02-2020,10.19,0,0
01-03-2020,10.19,0,0
02-03-2020,10.19,28891044,0
03-03-2020,10.19,41206044,0
04-03-2020,15.74,57962920,0
05-03-2020,26.85,40817153,0
06-03-2020,26.85,27817586,0
07-03-2020,26.85,0,0
08-03-2020,26.85,0,0
09-03-2020,26.85,33459937,0
10-03-2020,26.85,0,1
11-03-2020,26.85,36502334,0
12-03-2020,26.85,52330391,0
13-03-2020,33.33,51705471,6
14-03-2020,36.11,0,0
15-03-2020,38.89,0,3
16-03-2020,48.15,47249630,1
17-03-2020,48.15,40951602,1
18-03-2020,50,44945057,0
19-03-2020,59.72,35700672,5
20-03-2020,70.83,50098202,3
21-03-2020,76.39,0,0
22-03-2020,100,0,0
23-03-2020,86.57,33278043,2
24-03-2020,86.57,34381735,15
25-03-2020,100,30766064,3
26-03-2020,100,43517854,7
27-03-2020,100,40899569,25
28-03-2020,100,0,10
29-03-2020,100,0,17
30-03-2020,100,38187086,35
31-03-2020,100,39022078,13
01-04-2020,100,31879062,19
02-04-2020,100,0,22
03-04-2020,100,90108092,39
04-04-2020,100,0,56
05-04-2020,100,0,43
06-04-2020,100,0,65
07-04-2020,100,103930843,75
08-04-2020,100,127307172,96
09-04-2020,100,121942870,70
10-04-2020,100,0,151
11-04-2020,100,0,186
12-04-2020,100,0,114
13-04-2020,100,121649029,112
14-04-2020,100,0,167
15-04-2020,100,115258180,144
16-04-2020,100,74190433,258
17-04-2020,100,70421787,273
18-04-2020,100,0,426
19-04-2020,100,0,388
20-04-2020,96.3,61908115,419
21-04-2020,96.3,125520844,703
22-04-2020,96.3,79245371,394
23-04-2020,96.3,75985091,642
24-04-2020,96.3,104409591,484
25-04-2020,96.3,0,442
26-04-2020,96.3,0,585
27-04-2020,96.3,75788241,580
28-04-2020,96.3,51486443,636
29-04-2020,96.3,47209223,690
30-04-2020,96.3,68640854,630
01-05-2020,96.3,0,962
02-05-2020,96.3,0,831
03-05-2020,96.3,0,911
04-05-2020,81.94,87107464,1082
05-05-2020,81.94,52022881,1295
06-05-2020,81.94,50166933,1161
07-05-2020,81.94,42005200,1475
08-05-2020,81.94,44253004,1111
09-05-2020,81.94,0,1414
10-05-2020,81.94,0,1669
11-05-2020,81.94,47289876,1579
12-05-2020,81.94,54851247,1905
13-05-2020,81.94,46759973,1963
14-05-2020,81.94,60236390,1594
15-05-2020,81.94,70644388,2234
16-05-2020,81.94,0,4012
17-05-2020,81.94,0,2538
18-05-2020,79.17,61511159,2482
19-05-2020,79.17,45405467,3032
20-05-2020,79.17,54446440,3113
21-05-2020,79.17,56821496,3131
22-05-2020,79.17,49964360,3280
23-05-2020,79.17,0,2576
24-05-2020,79.17,0,3285
25-05-2020,79.17,0,3012
26-05-2020,79.17,48678400,3585
27-05-2020,79.17,43880429,3434
28-05-2020,79.17,39314551,3171
29-05-2020,79.17,105962179,11735
30-05-2020,79.17,0,4303
31-05-2020,79.17,0,4928
01-06-2020,75.46,75074106,3882
02-06-2020,75.46,65215107,4531
03-06-2020,75.46,37556423,3789
04-06-2020,75.46,76336928,4390
05-06-2020,75.46,57216602,4770
06-06-2020,75.46,0,5433
07-06-2020,75.46,0,5191
08-06-2020,75.46,39820958,5171
