Stringency Index,New cases
76.39,10
100,3
86.57,5
86.57,8
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,3
100,0
100,0
100,7
100,0
100,5
100,0
100,0
100,10
100,4
100,0
100,0
100,1
100,2
100,0
100,1
100,3
96.3,0
96.3,0
96.3,0
96.3,1
96.3,0
96.3,0
96.3,0
96.3,0
96.3,0
96.3,0
96.3,0
96.3,0
96.3,0
96.3,0
81.94,0
81.94,10
81.94,15
81.94,13
81.94,16
81.94,10
81.94,20
81.94,15
81.94,17
81.94,15
81.94,30
81.94,25
81.94,15
81.94,20
79.17,35
79.17,30
79.17,40
79.17,18
79.17,42
79.17,16
79.17,17
79.17,18
79.17,20
79.17,24
79.17,26
79.17,3
79.17,19
79.17,18
75.46,18
75.46,9
75.46,5
75.46,14
75.46,24
75.46,10
75.46,7
75.46,13
