Date,Open,corona,Strigency
30-01-2020,16509,2,5.42
31-01-2020,16333.15,2,5.42
01-02-2020,16138.6,3,5.42
02-02-2020,16138.6,3,5.42
03-02-2020,16282,3,5.42
04-02-2020,16174.8,3,5.42
05-02-2020,16354.45,3,5.42
06-02-2020,16480.75,3,5.42
07-02-2020,16453,3,5.42
08-02-2020,16453,3,5.42
09-02-2020,16453,3,5.42
10-02-2020,16481.5,3,5.42
11-02-2020,16482.4,3,5.42
12-02-2020,16462.25,3,5.42
13-02-2020,16578.75,3,5.42
14-02-2020,16682.3,3,5.42
15-02-2020,16682.3,3,5.42
16-02-2020,16682.3,3,5.42
17-02-2020,16707.65,3,5.42
18-02-2020,16586.9,3,5.42
19-02-2020,16796.4,3,5.42
20-02-2020,16826.3,3,5.42
21-02-2020,16826.3,3,5.42
22-02-2020,16826.3,3,5.42
23-02-2020,16826.3,3,5.42
24-02-2020,16642.75,3,5.42
25-02-2020,16490.4,3,5.42
26-02-2020,16497.15,3,5.42
27-02-2020,16244.95,3,5.42
28-02-2020,15726.15,3,5.42
29-02-2020,15726.15,5,5.42
01-03-2020,15726.15,6,5.42
02-03-2020,15355.05,28,5.42
03-03-2020,15615.05,29,16.54
04-03-2020,15824.9,31,21.83
05-03-2020,15912.05,34,28.97
06-03-2020,15607.35,44,28.97
07-03-2020,15607.35,50,28.97
08-03-2020,15607.35,73,28.97
09-03-2020,15333.55,75,28.97
10-03-2020,15333.55,83,28.97
11-03-2020,14524.15,90,28.97
12-03-2020,14177.4,93,28.97
13-03-2020,12561.95,125,28.97
14-03-2020,12561.95,137,28.97
15-03-2020,12561.95,165,34.79
16-03-2020,12963.7,191,34.79
17-03-2020,12517.5,231,46.16
18-03-2020,12287.8,320,56.08
19-03-2020,11183.95,439,64.02
20-03-2020,11382.4,492,64.02
21-03-2020,11382.4,562,100
22-03-2020,11382.4,649,81.22
23-03-2020,11328.25,724,81.22
24-03-2020,11159.75,873,97.35
25-03-2020,11856.9,979,97.35
26-03-2020,12496.95,1071,97.35
27-03-2020,12778.15,1251,97.35
28-03-2020,12778.15,1397,97.35
29-03-2020,12778.15,1965,97.35
30-03-2020,12152.95,2301,97.35
31-03-2020,12681.75,2902,97.35
01-04-2020,12680.5,3374,97.35
02-04-2020,12680.5,4067,97.35
03-04-2020,12129.85,4421,97.35
04-04-2020,12129.85,5194,97.35
05-04-2020,12129.85,5734,97.35
06-04-2020,12129.85,6412,97.35
07-04-2020,12147,7447,97.35
08-04-2020,12468.6,8356,97.35
09-04-2020,12810.8,9152,97.35
10-04-2020,12810.8,10363,97.35
11-04-2020,12810.8,11438,97.35
12-04-2020,12810.8,12380,97.35
13-04-2020,12698.85,13387,97.35
14-04-2020,12698.85,14378,97.35
15-04-2020,12792.45,15712,97.35
16-04-2020,12430.3,17265,97.35
17-04-2020,12878.35,18600,97.35
18-04-2020,12878.35,19984,97.35
19-04-2020,12878.35,21393,97.35
20-04-2020,12812.6,23077,97.35
21-04-2020,12513.65,24506,97.35
22-04-2020,12393.9,26496,97.35
23-04-2020,12639.8,27892,97.35
24-04-2020,13001.9,29435,100
25-04-2020,13001.9,31332,100
26-04-2020,13001.9,33050,100
27-04-2020,12957.35,35043,100
28-04-2020,13301.95,37336,100
29-04-2020,13250.6,37336,100
30-04-2020,13841.6,37336,100
