Date,Open,corona,Strigency
30-01-2020,30889.25,2,5.42
31-01-2020,30950.5,2,5.42
01-02-2020,30726.2,3,5.42
02-02-2020,30726.2,3,5.42
03-02-2020,29811.75,3,5.42
04-02-2020,30235.3,3,5.42
05-02-2020,30761.95,3,5.42
06-02-2020,31070.75,3,5.42
07-02-2020,31367.05,3,5.42
08-02-2020,31367.05,3,5.42
09-02-2020,31367.05,3,5.42
10-02-2020,31248.65,3,5.42
11-02-2020,31230.2,3,5.42
12-02-2020,31441.15,3,5.42
13-02-2020,31586.55,3,5.42
14-02-2020,31281.85,3,5.42
15-02-2020,31281.85,3,5.42
16-02-2020,31281.85,3,5.42
17-02-2020,30873.85,3,5.42
18-02-2020,30661.5,3,5.42
19-02-2020,30905,3,5.42
20-02-2020,30862.3,3,5.42
21-02-2020,30862.3,3,5.42
22-02-2020,30862.3,3,5.42
23-02-2020,30862.3,3,5.42
24-02-2020,30666.35,3,5.42
25-02-2020,30517,3,5.42
26-02-2020,30279.95,3,5.42
27-02-2020,30270,3,5.42
28-02-2020,29501.55,3,5.42
29-02-2020,29501.55,5,5.42
01-03-2020,29501.55,6,5.42
02-03-2020,29701,28,5.42
03-03-2020,29012.55,29,16.54
04-03-2020,29252.95,31,21.83
05-03-2020,28830.3,34,28.97
06-03-2020,27649.95,44,28.97
07-03-2020,27649.95,50,28.97
08-03-2020,27649.95,73,28.97
09-03-2020,27031.45,75,28.97
10-03-2020,27031.45,83,28.97
11-03-2020,26272.75,90,28.97
12-03-2020,25175.9,93,28.97
13-03-2020,22720.75,125,28.97
14-03-2020,22720.75,137,28.97
15-03-2020,22720.75,165,34.79
16-03-2020,24061.6,191,34.79
17-03-2020,23348.05,231,46.16
18-03-2020,22411.85,320,56.08
19-03-2020,19428.95,439,64.02
20-03-2020,19898.3,492,64.02
21-03-2020,19898.3,562,100
22-03-2020,19898.3,649,81.22
23-03-2020,18311.3,724,81.22
24-03-2020,17705.85,873,97.35
25-03-2020,16759.95,979,97.35
26-03-2020,18781.85,1071,97.35
27-03-2020,20801.6,1251,97.35
28-03-2020,20801.6,1397,97.35
29-03-2020,20801.6,1965,97.35
30-03-2020,19254.45,2301,97.35
31-03-2020,19307.65,2902,97.35
01-04-2020,19122.4,3374,97.35
02-04-2020,19122.4,4067,97.35
03-04-2020,18325.05,4421,97.35
04-04-2020,18325.05,5194,97.35
05-04-2020,18325.05,5734,97.35
06-04-2020,18325.05,6412,97.35
07-04-2020,18454.55,7447,97.35
08-04-2020,18799.4,8356,97.35
09-04-2020,19553.15,9152,97.35
10-04-2020,19553.15,10363,97.35
11-04-2020,19553.15,11438,97.35
12-04-2020,19553.15,12380,97.35
13-04-2020,19854.9,13387,97.35
15-04-2020,20096.35,14378,97.35
16-04-2020,18957.15,15712,97.35
17-04-2020,20394.75,17265,97.35
18-04-2020,20394.75,18600,97.35
19-04-2020,20394.75,19984,97.35
20-04-2020,20394.75,21393,97.35
20-04-2020,21104.7,23077,97.35
21-04-2020,19812.05,24506,97.35
22-04-2020,19306.95,26496,97.35
23-04-2020,19871.35,27892,97.35
24-04-2020,19697.65,29435,100
25-04-2020,19697.65,31332,100
26-04-2020,19697.65,33050,100
27-04-2020,19870.8,35043,100
28-04-2020,20436.6,37336,100
29-04-2020,20440.4,37336,100
30-04-2020,21589.2,37336,100
