Date,Price,corona
30-01-2020,"3,367.35",2.00
31-01-2020,"3,291.70",2.00
01-02-2020,"3,183.65",3.00
02-02-2020,"3,183.65",3.00
03-02-2020,"3,232.05",3.00
04-02-2020,"3,322.40",3.00
05-02-2020,"3,372.05",3.00
06-02-2020,"3,389.45",3.00
07-02-2020,"3,405.20",3.00
08-02-2020,"3,405.20",3.00
09-02-2020,"3,405.20",3.00
10-02-2020,"3,356.95",3.00
11-02-2020,"3,379.90",3.00
12-02-2020,"3,378.25",3.00
13-02-2020,"3,360.70",3.00
14-02-2020,"3,342.50",3.00
15-02-2020,"3,342.50",3.00
16-02-2020,"3,342.50",3.00
17-02-2020,"3,300.15",3.00
18-02-2020,"3,278.55",3.00
19-02-2020,"3,330.55",3.00
20-02-2020,"3,324.80",3.00
21-02-2020,"3,324.80",3.00
22-02-2020,"3,324.80",3.00
23-02-2020,"3,324.80",3.00
24-02-2020,"3,227.65",3.00
25-02-2020,"3,208.75",3.00
26-02-2020,"3,166.45",3.00
27-02-2020,"3,144.25",3.00
28-02-2020,"3,015.30",3.00
29-02-2020,"3,015.30",5.00
01-03-2020,"3,015.30",6.00
02-03-2020,"2,963.85",28.00
03-03-2020,"3,076.30",29.00
04-03-2020,"3,049.45",31.00
05-03-2020,"3,033.15",34.00
06-03-2020,"2,958.50",44.00
07-03-2020,"2,958.50",50.00
08-03-2020,"2,958.50",73.00
09-03-2020,"2,813.35",75.00
10-03-2020,"2,813.35",83.00
11-03-2020,"2,785.55",90.00
12-03-2020,"2,524.35",93.00
13-03-2020,"2,625.95",125.00
14-03-2020,"2,625.95",137.00
15-03-2020,"2,625.95",165.00
16-03-2020,"2,455.20",191.00
17-03-2020,"2,423.15",231.00
18-03-2020,"2,338.05",320.00
19-03-2020,"2,212.55",439.00
20-03-2020,"2,379.90",492.00
21-03-2020,"2,379.90",562.00
22-03-2020,"2,379.90",649.00
23-03-2020,"2,088.40",724.00
24-03-2020,"2,100.00",873.00
25-03-2020,"2,184.40",979.00
26-03-2020,"2,208.30",1071.00
27-03-2020,"2,211.90",1251.00
28-03-2020,"2,211.90",1397.00
29-03-2020,"2,211.90",1965.00
30-03-2020,"2,162.80",2301.00
31-03-2020,"2,295.05",2902.00
01-04-2020,"2,227.45",3374.00
02-04-2020,"2,227.45",4067.00
03-04-2020,"2,198.00",4421.00
04-04-2020,"2,198.00",5194.00
05-04-2020,"2,198.00",5734.00
06-04-2020,"2,198.00",6412.00
07-04-2020,"2,365.10",7447.00
08-04-2020,"2,355.90",8356.00
09-04-2020,"2,436.60",9152.00
10-04-2020,"2,436.60",10363.00
11-04-2020,"2,436.60",11438.00
12-04-2020,"2,436.60",12380.00
13-04-2020,"2,460.00",13387.00
14-04-2020,"2,460.00",14378.00
15-04-2020,"2,493.65",15712.00
16-04-2020,"2,536.90",17265.00
17-04-2020,"2,573.40",18600.00
18-04-2020,"2,573.40",19984.00
19-04-2020,"2,573.40",21393.00
20-04-2020,"2,560.30",23077.00
21-04-2020,"2,481.40",24506.00
22-04-2020,"2,528.10",26496.00
23-04-2020,"2,525.05",27892.00
24-04-2020,"2,484.90",29435.00
25-04-2020,"2,484.90",31332.00
26-04-2020,"2,484.90",33050.00
27-04-2020,"2,516.95",35043.00
28-04-2020,"2,517.60",37336.00
29-04-2020,"2,548.55",39826.00
30-04-2020,"2,679.95",42778.00
