Date,Open,corona,Strigency
30-01-2020,15473.55,2,5.42
31-01-2020,15318.85,2,5.42
01-02-2020,14820,3,5.42
02-02-2020,14820,3,5.42
03-02-2020,14374.55,3,5.42
04-02-2020,14619.85,3,5.42
05-02-2020,14998.25,3,5.42
06-02-2020,15120.4,3,5.42
07-02-2020,15206.35,3,5.42
08-02-2020,15206.35,3,5.42
09-02-2020,15206.35,3,5.42
10-02-2020,15185.85,3,5.42
11-02-2020,15152.05,3,5.42
12-02-2020,15268.6,3,5.42
13-02-2020,15263.8,3,5.42
14-02-2020,15205.25,3,5.42
15-02-2020,15205.25,3,5.42
16-02-2020,15205.25,3,5.42
17-02-2020,15095.95,3,5.42
18-02-2020,14782.45,3,5.42
19-02-2020,14935.8,3,5.42
20-02-2020,15012.75,3,5.42
21-02-2020,15012.75,3,5.42
22-02-2020,15012.75,3,5.42
23-02-2020,15012.75,3,5.42
24-02-2020,14911.9,3,5.42
25-02-2020,14726.6,3,5.42
26-02-2020,14411.7,3,5.42
27-02-2020,14161.45,3,5.42
28-02-2020,13748.1,3,5.42
29-02-2020,13748.1,5,5.42
01-03-2020,13748.1,6,5.42
02-03-2020,13914.65,28,5.42
03-03-2020,13554.3,29,16.54
04-03-2020,13893.55,31,21.83
05-03-2020,13956,34,28.97
06-03-2020,13314.45,44,28.97
07-03-2020,13314.45,50,28.97
08-03-2020,13314.45,73,28.97
09-03-2020,13071.85,75,28.97
10-03-2020,13071.85,83,28.97
11-03-2020,12439.9,90,28.97
12-03-2020,11807.85,93,28.97
13-03-2020,10658.3,125,28.97
14-03-2020,10658.3,137,28.97
15-03-2020,10658.3,165,34.79
16-03-2020,11296.6,191,34.79
17-03-2020,11142.75,231,46.16
18-03-2020,11124.9,320,56.08
19-03-2020,10033.3,439,64.02
20-03-2020,10213.95,492,64.02
21-03-2020,10213.95,562,100
22-03-2020,10213.95,649,81.22
23-03-2020,9904.15,724,81.22
24-03-2020,10154.3,873,97.35
25-03-2020,10033.9,979,97.35
26-03-2020,10674.15,1071,97.35
27-03-2020,10849.75,1251,97.35
28-03-2020,10849.75,1397,97.35
29-03-2020,10849.75,1965,97.35
30-03-2020,10338.1,2301,97.35
31-03-2020,10689,2902,97.35
01-04-2020,11119.45,3374,97.35
02-04-2020,11119.45,4067,97.35
03-04-2020,11040,4421,97.35
04-04-2020,11040,5194,97.35
05-04-2020,11040,5734,97.35
06-04-2020,11040,6412,97.35
07-04-2020,11184.9,7447,97.35
08-04-2020,11566.75,8356,97.35
09-04-2020,11916.25,9152,97.35
10-04-2020,11916.25,10363,97.35
11-04-2020,11916.25,11438,97.35
12-04-2020,11916.25,12380,97.35
13-04-2020,11972.35,13387,97.35
14-04-2020,11972.35,14378,97.35
15-04-2020,11945.2,15712,97.35
16-04-2020,11656.7,17265,97.35
17-04-2020,12419.35,18600,97.35
18-04-2020,12419.35,19984,97.35
19-04-2020,12419.35,21393,97.35
20-04-2020,12361.1,23077,97.35
21-04-2020,12138.25,24506,97.35
22-04-2020,12316.75,26496,97.35
23-04-2020,12529.95,27892,97.35
24-04-2020,12322.55,29435,100
25-04-2020,12322.55,31332,100
26-04-2020,12322.55,33050,100
27-04-2020,12640.95,35043,100
28-04-2020,12677.95,37336,100
29-04-2020,12664.5,37336,100
30-04-2020,12821.2,37336,100
