Date,Open,corona,Strigency
30-01-2020,14382.95,2,5.42
31-01-2020,14389.2,2,5.42
01-02-2020,14272.3,3,5.42
02-02-2020,14272.3,3,5.42
03-02-2020,13719.65,3,5.42
04-02-2020,13908,3,5.42
05-02-2020,14245.4,3,5.42
06-02-2020,14427.3,3,5.42
07-02-2020,14551.7,3,5.42
08-02-2020,14551.7,3,5.42
09-02-2020,14551.7,3,5.42
10-02-2020,14514.75,3,5.42
11-02-2020,14564.1,3,5.42
12-02-2020,14668.8,3,5.42
13-02-2020,14698.1,3,5.42
14-02-2020,14596.15,3,5.42
15-02-2020,14596.15,3,5.42
16-02-2020,14596.15,3,5.42
17-02-2020,14491,3,5.42
18-02-2020,14356.3,3,5.42
19-02-2020,14456.65,3,5.42
20-02-2020,14511.05,3,5.42
21-02-2020,14511.05,3,5.42
22-02-2020,14511.05,3,5.42
23-02-2020,14511.05,3,5.42
24-02-2020,14398.3,3,5.42
25-02-2020,14282.1,3,5.42
26-02-2020,14156.75,3,5.42
27-02-2020,14113.25,3,5.42
28-02-2020,13778.35,3,5.42
29-02-2020,13778.35,5,5.42
01-03-2020,13778.35,6,5.42
02-03-2020,13824.5,28,5.42
03-03-2020,13595.55,29,16.54
04-03-2020,13685,31,21.83
05-03-2020,13499,34,28.97
06-03-2020,13027.9,44,28.97
07-03-2020,13027.9,50,28.97
08-03-2020,13027.9,73,28.97
09-03-2020,12765.75,75,28.97
10-03-2020,12765.75,83,28.97
11-03-2020,12391.4,90,28.97
12-03-2020,12037.5,93,28.97
13-03-2020,10830.25,125,28.97
14-03-2020,10830.25,137,28.97
15-03-2020,10830.25,165,34.79
16-03-2020,11589.65,191,34.79
17-03-2020,11215.75,231,46.16
18-03-2020,10709.45,320,56.08
19-03-2020,9234.7,439,64.02
20-03-2020,9539.95,492,64.02
21-03-2020,9539.95,562,100
22-03-2020,9539.95,649,81.22
23-03-2020,8898.4,724,81.22
24-03-2020,8623,873,97.35
25-03-2020,8285.25,979,97.35
26-03-2020,9366.95,1071,97.35
27-03-2020,10159,1251,97.35
28-03-2020,10159,1397,97.35
29-03-2020,10159,1965,97.35
30-03-2020,9408,2301,97.35
31-03-2020,9327.75,2902,97.35
01-04-2020,9293.9,3374,97.35
02-04-2020,9293.9,4067,97.35
03-04-2020,8986.6,4421,97.35
04-04-2020,8986.6,5194,97.35
05-04-2020,8986.6,5734,97.35
06-04-2020,8986.6,6412,97.35
07-04-2020,9072.45,7447,97.35
08-04-2020,9152.6,8356,97.35
09-04-2020,9485,9152,97.35
10-04-2020,9485,10363,97.35
11-04-2020,9485,11438,97.35
12-04-2020,9485,12380,97.35
13-04-2020,9814.3,13387,97.35
14-04-2020,9814.3,14378,97.35
15-04-2020,9780,15712,97.35
16-04-2020,9191.15,17265,97.35
17-04-2020,9821.6,18600,97.35
18-04-2020,9821.6,19984,97.35
19-04-2020,9821.6,21393,97.35
20-04-2020,10112.5,23077,97.35
21-04-2020,9612.45,24506,97.35
22-04-2020,9429.8,26496,97.35
23-04-2020,9647.95,27892,97.35
24-04-2020,9522.6,29435,100
25-04-2020,9522.6,31332,100
26-04-2020,9522.6,33050,100
27-04-2020,9569.1,35043,100
28-04-2020,9766.45,37336,100
29-04-2020,9919.4,,100
30-04-2020,10504.1,,100
