Date,Open,corona,Strigency
30-01-2020,1868.2,2,5.42
31-01-2020,1853.2,2,5.42
01-02-2020,1828.55,3,5.42
02-02-2020,1828.55,3,5.42
03-02-2020,1760.55,3,5.42
04-02-2020,1792.95,3,5.42
05-02-2020,1794.85,3,5.42
06-02-2020,1774.75,3,5.42
07-02-2020,1794.4,3,5.42
08-02-2020,1794.4,3,5.42
09-02-2020,1794.4,3,5.42
10-02-2020,1822.1,3,5.42
11-02-2020,1809.25,3,5.42
12-02-2020,1836.65,3,5.42
13-02-2020,1830.95,3,5.42
14-02-2020,1843.75,3,5.42
15-02-2020,1843.75,3,5.42
16-02-2020,1843.75,3,5.42
17-02-2020,1836.45,3,5.42
18-02-2020,1840.2,3,5.42
19-02-2020,1857.5,3,5.42
20-02-2020,1882.95,3,5.42
21-02-2020,1882.95,3,5.42
22-02-2020,1882.95,3,5.42
23-02-2020,1882.95,3,5.42
24-02-2020,1862.55,3,5.42
25-02-2020,1836.8,3,5.42
26-02-2020,1805.1,3,5.42
27-02-2020,1807.85,3,5.42
28-02-2020,1714.5,3,5.42
29-02-2020,1714.5,5,5.42
01-03-2020,1714.5,6,5.42
02-03-2020,1700.25,28,5.42
03-03-2020,1611.05,29,16.54
04-03-2020,1649.4,31,21.83
05-03-2020,1628.45,34,28.97
06-03-2020,1538.25,44,28.97
07-03-2020,1538.25,50,28.97
08-03-2020,1538.25,73,28.97
09-03-2020,1490.1,75,28.97
10-03-2020,1490.1,83,28.97
11-03-2020,1415.25,90,28.97
12-03-2020,1358.05,93,28.97
13-03-2020,1184.45,125,28.97
14-03-2020,1184.45,137,28.97
15-03-2020,1184.45,165,34.79
16-03-2020,1214.45,191,34.79
17-03-2020,1201.35,231,46.16
18-03-2020,1156.15,320,56.08
19-03-2020,1072.7,439,64.02
20-03-2020,1087.9,492,64.02
21-03-2020,1087.9,562,100
22-03-2020,1087.9,649,81.22
23-03-2020,1038.45,724,81.22
24-03-2020,1030.35,873,97.35
25-03-2020,1013.25,979,97.35
26-03-2020,1065.7,1071,97.35
27-03-2020,1086.2,1251,97.35
28-03-2020,1086.2,1397,97.35
29-03-2020,1086.2,1965,97.35
30-03-2020,1030.7,2301,97.35
31-03-2020,1040.95,2902,97.35
01-04-2020,1045.1,3374,97.35
02-04-2020,1045.1,4067,97.35
03-04-2020,1011.3,4421,97.35
04-04-2020,1011.3,5194,97.35
05-04-2020,1011.3,5734,97.35
06-04-2020,1011.3,6412,97.35
07-04-2020,1024.25,7447,97.35
08-04-2020,1033.15,8356,97.35
09-04-2020,1086.85,9152,97.35
10-04-2020,1086.85,10363,97.35
11-04-2020,1086.85,11438,97.35
12-04-2020,1086.85,12380,97.35
13-04-2020,1096.2,13387,97.35
14-04-2020,1096.2,14378,97.35
15-04-2020,1082.55,15712,97.35
16-04-2020,1068.9,17265,97.35
17-04-2020,1136.45,18600,97.35
18-04-2020,1136.45,19984,97.35
19-04-2020,1136.45,21393,97.35
20-04-2020,1162.3,23077,97.35
21-04-2020,1107.55,24506,97.35
22-04-2020,1093.25,26496,97.35
23-04-2020,1179.15,27892,97.35
24-04-2020,1153.9,29435,100
25-04-2020,1153.9,31332,100
26-04-2020,1153.9,33050,100
27-04-2020,1146.95,35043,100
28-04-2020,1137.8,37336,100
29-04-2020,1146.55,37336,100
30-04-2020,1185.15,37336,100
