Date,Open,corona,Strigency
30-01-2020,2667.4,2,5.42
31-01-2020,2642.25,2,5.42
01-02-2020,2557.4,3,5.42
02-02-2020,2557.4,3,5.42
03-02-2020,2475.45,3,5.42
04-02-2020,2537.6,3,5.42
05-02-2020,2605.7,3,5.42
06-02-2020,2684.75,3,5.42
07-02-2020,2684.2,3,5.42
08-02-2020,2684.2,3,5.42
09-02-2020,2684.2,3,5.42
10-02-2020,2687.65,3,5.42
11-02-2020,2650.85,3,5.42
12-02-2020,2669,3,5.42
13-02-2020,2671.4,3,5.42
14-02-2020,2649.5,3,5.42
15-02-2020,2649.5,3,5.42
16-02-2020,2649.5,3,5.42
17-02-2020,2614.35,3,5.42
18-02-2020,2572.4,3,5.42
19-02-2020,2588.3,3,5.42
20-02-2020,2582.95,3,5.42
21-02-2020,2582.95,3,5.42
22-02-2020,2582.95,3,5.42
23-02-2020,2582.95,3,5.42
24-02-2020,2578.8,3,5.42
25-02-2020,2495.25,3,5.42
26-02-2020,2431.6,3,5.42
27-02-2020,2424.2,3,5.42
28-02-2020,2333.2,3,5.42
29-02-2020,2333.2,5,5.42
01-03-2020,2333.2,6,5.42
02-03-2020,2307.6,28,5.42
03-03-2020,2238.95,29,16.54
04-03-2020,2321.95,31,21.83
05-03-2020,2327.65,34,28.97
06-03-2020,2171.05,44,28.97
07-03-2020,2171.05,50,28.97
08-03-2020,2171.05,73,28.97
09-03-2020,2101.95,75,28.97
10-03-2020,2101.95,83,28.97
11-03-2020,2010.3,90,28.97
12-03-2020,1869.8,93,28.97
13-03-2020,1677.65,125,28.97
14-03-2020,1677.65,137,28.97
15-03-2020,1677.65,165,34.79
16-03-2020,1807.6,191,34.79
17-03-2020,1757.65,231,46.16
18-03-2020,1761.6,320,56.08
19-03-2020,1584,439,64.02
20-03-2020,1605.05,492,64.02
21-03-2020,1605.05,562,100
22-03-2020,1605.05,649,81.22
23-03-2020,1538.25,724,81.22
24-03-2020,1539.5,873,97.35
25-03-2020,1485.25,979,97.35
26-03-2020,1561.6,1071,97.35
27-03-2020,1580.7,1251,97.35
28-03-2020,1580.7,1397,97.35
29-03-2020,1580.7,1965,97.35
30-03-2020,1506.4,2301,97.35
31-03-2020,1544.5,2902,97.35
01-04-2020,1575.75,3374,97.35
02-04-2020,1575.75,4067,97.35
03-04-2020,1563.55,4421,97.35
04-04-2020,1563.55,5194,97.35
05-04-2020,1563.55,5734,97.35
06-04-2020,1563.55,6412,97.35
07-04-2020,1579.7,7447,97.35
08-04-2020,1613.4,8356,97.35
09-04-2020,1665.3,9152,97.35
10-04-2020,1665.3,10363,97.35
11-04-2020,1665.3,11438,97.35
12-04-2020,1665.3,12380,97.35
13-04-2020,1714.5,13387,97.35
14-04-2020,1714.5,14378,97.35
15-04-2020,1771.2,15712,97.35
16-04-2020,1738.55,17265,97.35
17-04-2020,1837.2,18600,97.35
18-04-2020,1837.2,19984,97.35
19-04-2020,1837.2,21393,97.35
20-04-2020,1842.4,23077,97.35
21-04-2020,1712.6,24506,97.35
22-04-2020,1651.75,26496,97.35
23-04-2020,1685.55,27892,97.35
24-04-2020,1680.45,29435,100
25-04-2020,1680.45,31332,100
26-04-2020,1680.45,33050,100
27-04-2020,1672.6,35043,100
28-04-2020,1678.3,37336,100
29-04-2020,1666.35,37336,100
30-04-2020,1763.5,37336,100
