Date,Open,corona,Strigency
30-01-2020,329.75,2,5.42
31-01-2020,329.85,2,5.42
01-02-2020,329.7,3,5.42
02-02-2020,329.7,3,5.42
03-02-2020,303.5,3,5.42
04-02-2020,310.1,3,5.42
05-02-2020,321.35,3,5.42
06-02-2020,324.1,3,5.42
07-02-2020,325.8,3,5.42
08-02-2020,325.8,3,5.42
09-02-2020,325.8,3,5.42
10-02-2020,320.5,3,5.42
11-02-2020,318.9,3,5.42
12-02-2020,318,3,5.42
13-02-2020,315.75,3,5.42
14-02-2020,314.95,3,5.42
15-02-2020,314.95,3,5.42
16-02-2020,314.95,3,5.42
17-02-2020,311.95,3,5.42
18-02-2020,304.6,3,5.42
19-02-2020,306.1,3,5.42
20-02-2020,305.9,3,5.42
21-02-2020,305.9,3,5.42
22-02-2020,305.9,3,5.42
23-02-2020,305.9,3,5.42
24-02-2020,304.15,3,5.42
25-02-2020,300.7,3,5.42
26-02-2020,300.7,3,5.42
27-02-2020,296.7,3,5.42
28-02-2020,282.75,3,5.42
29-02-2020,282.75,5,5.42
01-03-2020,282.75,6,5.42
02-03-2020,284.9,28,5.42
03-03-2020,280.85,29,16.54
04-03-2020,286.3,31,21.83
05-03-2020,283.6,34,28.97
06-03-2020,268.45,44,28.97
07-03-2020,268.45,50,28.97
08-03-2020,268.45,73,28.97
09-03-2020,263.05,75,28.97
10-03-2020,263.05,83,28.97
11-03-2020,258.35,90,28.97
12-03-2020,243.5,93,28.97
13-03-2020,208.55,125,28.97
14-03-2020,208.55,137,28.97
15-03-2020,208.55,165,34.79
16-03-2020,223.75,191,34.79
17-03-2020,214.65,231,46.16
18-03-2020,215.3,320,56.08
19-03-2020,187.45,439,64.02
20-03-2020,191.45,492,64.02
21-03-2020,191.45,562,100
22-03-2020,191.45,649,81.22
23-03-2020,178.55,724,81.22
24-03-2020,175.55,873,97.35
25-03-2020,166.5,979,97.35
26-03-2020,177.75,1071,97.35
27-03-2020,191.9,1251,97.35
28-03-2020,191.9,1397,97.35
29-03-2020,191.9,1965,97.35
30-03-2020,181.25,2301,97.35
31-03-2020,177.35,2902,97.35
01-04-2020,175.55,3374,97.35
02-04-2020,175.55,4067,97.35
03-04-2020,173.4,4421,97.35
04-04-2020,173.4,5194,97.35
05-04-2020,173.4,5734,97.35
06-04-2020,173.4,6412,97.35
07-04-2020,178.05,7447,97.35
08-04-2020,180.35,8356,97.35
09-04-2020,183.55,9152,97.35
10-04-2020,183.55,10363,97.35
11-04-2020,183.55,11438,97.35
12-04-2020,183.55,12380,97.35
13-04-2020,186.6,13387,97.35
14-04-2020,186.6,14378,97.35
15-04-2020,177.6,15712,97.35
16-04-2020,179.05,17265,97.35
17-04-2020,188.95,18600,97.35
18-04-2020,188.95,19984,97.35
19-04-2020,188.95,21393,97.35
20-04-2020,189.9,23077,97.35
21-04-2020,186.2,24506,97.35
22-04-2020,186.05,26496,97.35
23-04-2020,185.8,27892,97.35
24-04-2020,182.75,29435,100
25-04-2020,182.75,31332,100
26-04-2020,182.75,33050,100
27-04-2020,180.4,35043,100
28-04-2020,182.25,37336,100
29-04-2020,182.85,37336,100
30-04-2020,185.65,37336,100
