Date,Open,corona,Strigency
30-01-2020,8426.25,2,5.42
31-01-2020,8256.2,2,5.42
01-02-2020,8129.3,3,5.42
02-02-2020,8129.3,3,5.42
03-02-2020,8020.95,3,5.42
04-02-2020,8002.65,3,5.42
05-02-2020,8151.2,3,5.42
06-02-2020,8194,3,5.42
07-02-2020,8243.05,3,5.42
08-02-2020,8243.05,3,5.42
09-02-2020,8243.05,3,5.42
10-02-2020,8340.15,3,5.42
11-02-2020,8303.3,3,5.42
12-02-2020,8341.7,3,5.42
13-02-2020,8292,3,5.42
14-02-2020,8349.9,3,5.42
15-02-2020,8349.9,3,5.42
16-02-2020,8349.9,3,5.42
17-02-2020,8342.6,3,5.42
18-02-2020,8190.85,3,5.42
19-02-2020,8277.4,3,5.42
20-02-2020,8401.55,3,5.42
21-02-2020,8401.55,3,5.42
22-02-2020,8401.55,3,5.42
23-02-2020,8401.55,3,5.42
24-02-2020,8275.95,3,5.42
25-02-2020,8153.85,3,5.42
26-02-2020,7886.35,3,5.42
27-02-2020,7824.5,3,5.42
28-02-2020,7751.45,3,5.42
29-02-2020,7751.45,5,5.42
01-03-2020,7751.45,6,5.42
02-03-2020,7675.55,28,5.42
03-03-2020,7606.8,29,16.54
04-03-2020,7970,31,21.83
05-03-2020,8125.9,34,28.97
06-03-2020,7863.1,44,28.97
07-03-2020,7863.1,50,28.97
08-03-2020,7863.1,73,28.97
09-03-2020,7921.25,75,28.97
10-03-2020,7921.25,83,28.97
11-03-2020,7754.75,90,28.97
12-03-2020,7408.4,93,28.97
13-03-2020,6558.25,125,28.97
14-03-2020,6558.25,137,28.97
15-03-2020,6558.25,165,34.79
16-03-2020,7075.35,191,34.79
17-03-2020,7014.5,231,46.16
18-03-2020,7135.05,320,56.08
19-03-2020,6489.5,439,64.02
20-03-2020,6740.25,492,64.02
21-03-2020,6740.25,562,100
22-03-2020,6740.25,649,81.22
23-03-2020,6518,724,81.22
24-03-2020,6589.45,873,97.35
25-03-2020,6539.6,979,97.35
26-03-2020,6845.25,1071,97.35
27-03-2020,6924.6,1251,97.35
28-03-2020,6924.6,1397,97.35
29-03-2020,6924.6,1965,97.35
30-03-2020,6708.7,2301,97.35
31-03-2020,7074.2,2902,97.35
01-04-2020,7206.2,3374,97.35
02-04-2020,7206.2,4067,97.35
03-04-2020,7019.85,4421,97.35
04-04-2020,7019.85,5194,97.35
05-04-2020,7019.85,5734,97.35
06-04-2020,7019.85,6412,97.35
07-04-2020,7729.25,7447,97.35
08-04-2020,8122.9,8356,97.35
09-04-2020,8739.5,9152,97.35
10-04-2020,8739.5,10363,97.35
11-04-2020,8739.5,11438,97.35
12-04-2020,8739.5,12380,97.35
13-04-2020,9000.25,13387,97.35
14-04-2020,9000.25,14378,97.35
15-04-2020,9265.4,15712,97.35
16-04-2020,9040.9,17265,97.35
17-04-2020,9429.5,18600,97.35
18-04-2020,9429.5,19984,97.35
19-04-2020,9429.5,21393,97.35
20-04-2020,9176.7,23077,97.35
21-04-2020,9031.85,24506,97.35
22-04-2020,9369.4,26496,97.35
23-04-2020,9400.15,27892,97.35
24-04-2020,9358.4,29435,100
25-04-2020,9358.4,31332,100
26-04-2020,9358.4,33050,100
27-04-2020,9590.5,35043,100
28-04-2020,9699.25,37336,100
29-04-2020,9453.3,37336,100
30-04-2020,9522.55,37336,100
